scenario_name,simulation_date,Zone_name,Venue_type,count,density,occupancy_ratio,avg_speed,flow_in,avg_dwelltime,flow_out,flow_imbalance,flow_ratio,count_t-1,density_t-1,flow_in_t-1,count_trend,density_change_rate,rolling_count_3h,neighbor_density_avg,neighbor_flow_in,event_type,event_scale,time_to_event_start,time_to_event_end,hour_of_day,day_of_week,is_weekend,pressure_score,exit_blocked_flag,exits_open_count,zone_capacity,zone_area_sqm,num_exits,weather,temperature_c
Weekday Normal,2024-03-11,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,4.0,none,none,99,99,0,0,0,0.0,0,4,80,300.0,1,sunny,28.0
Weekday Normal,2024-03-11,EntryExitPoint_N,MALL,5,0.0167,0.05,1.2032,5,119.5295,5,0,1.0,0.0,0.0,0.0,5.0,100.0,5.0,0.004,8.0,none,none,99,99,0,0,0,0.0201,0,4,100,300.0,1,sunny,28.0
Weekday Normal,2024-03-11,EntryExitPoint_S,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,2.0,none,none,99,99,0,0,0,0.0,0,4,100,300.0,1,sunny,28.0
Weekday Normal,2024-03-11,EntryExitPoint_W,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,4.0,none,none,99,99,0,0,0,0.0,0,4,80,300.0,1,sunny,28.0
Weekday Normal,2024-03-11,EventArea,MALL,1,0.0007,0.002,1.029,1,37.7779,1,0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0016,5.0,none,none,99,99,0,0,0,0.0007,0,4,500,1500.0,1,sunny,28.0
Weekday Normal,2024-03-11,FoodCourt,MALL,1,0.0007,0.0025,1.513,1,479.496,1,0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0017,5.0,none,none,99,99,0,0,0,0.001,0,4,400,1500.0,1,sunny,28.0
Weekday Normal,2024-03-11,Lobby,MALL,8,0.004,0.0133,1.2274,8,97.6598,8,0,1.0,0.0,0.0,0.0,8.0,100.0,8.0,0.0068,15.0,none,none,99,99,0,0,0,0.0049,0,4,600,2000.0,2,sunny,28.0
Weekday Normal,2024-03-11,PedestrianPathway,MALL,6,0.0067,0.024,1.2276,6,149.2367,6,0,1.0,0.0,0.0,0.0,6.0,100.0,6.0,0.0028,18.0,none,none,99,99,0,0,0,0.0082,0,4,250,900.0,0,sunny,28.0
Weekday Normal,2024-03-11,QueueArea,MALL,2,0.0033,0.0133,1.4445,2,253.8237,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.003,11.0,none,none,99,99,0,0,0,0.0048,0,4,150,600.0,1,sunny,28.0
Weekday Normal,2024-03-11,RetailArea_L,MALL,2,0.0019,0.0067,1.3185,2,32.8279,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0047,16.0,none,none,99,99,0,0,0,0.0025,0,4,300,1050.0,1,sunny,28.0
Weekday Normal,2024-03-11,RetailArea_R,MALL,2,0.0019,0.0067,1.1936,2,23.8641,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0045,16.0,none,none,99,99,0,0,0,0.0023,0,4,300,1050.0,1,sunny,28.0
Weekday Normal,2024-03-11,ServicePoint,MALL,2,0.0029,0.0111,1.2705,2,249.9536,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0034,11.0,none,none,99,99,0,0,0,0.0036,0,4,180,700.0,1,sunny,28.0
Weekday Normal,2024-03-11,WaitingArea,MALL,2,0.0029,0.01,1.1487,2,30.8447,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.003,11.0,none,none,99,99,0,0,0,0.0033,0,4,200,700.0,1,sunny,28.0
