scenario_name,simulation_date,Zone_name,Venue_type,count,density,occupancy_ratio,avg_speed,flow_in,avg_dwelltime,flow_out,flow_imbalance,flow_ratio,count_t-1,density_t-1,flow_in_t-1,count_trend,density_change_rate,rolling_count_3h,neighbor_density_avg,neighbor_flow_in,event_type,event_scale,time_to_event_start,time_to_event_end,hour_of_day,day_of_week,is_weekend,pressure_score,exit_blocked_flag,exits_open_count,zone_capacity,zone_area_sqm,num_exits,weather,temperature_c
Emergency Drill,2024-03-12,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,4.0,none,none,13,14,0,1,0,0.0,1,2,80,300.0,1,sunny,27.0
Emergency Drill,2024-03-12,EntryExitPoint_N,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,3.0,none,none,13,14,0,1,0,0.0,1,2,100,300.0,1,sunny,27.0
Emergency Drill,2024-03-12,EntryExitPoint_S,MALL,2,0.0067,0.02,1.758,2,11.4324,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0027,8.0,none,none,13,14,0,1,0,0.0117,1,2,100,300.0,1,sunny,27.0
Emergency Drill,2024-03-12,EntryExitPoint_W,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,3.0,none,none,13,14,0,1,0,0.0,1,2,80,300.0,1,sunny,27.0
Emergency Drill,2024-03-12,EventArea,MALL,4,0.0027,0.008,1.5288,4,9.7044,4,0,1.0,0.0,0.0,0.0,4.0,100.0,4.0,0.0041,11.0,none,none,13,14,0,1,0,0.0041,1,2,500,1500.0,1,sunny,27.0
Emergency Drill,2024-03-12,FoodCourt,MALL,4,0.0027,0.01,1.7467,4,333.7989,4,0,1.0,0.0,0.0,0.0,4.0,100.0,4.0,0.0038,10.0,none,none,13,14,0,1,0,0.0047,1,2,400,1500.0,1,sunny,27.0
Emergency Drill,2024-03-12,Lobby,MALL,3,0.0015,0.005,1.4453,3,156.7932,3,0,1.0,0.0,0.0,0.0,3.0,100.0,3.0,0.0021,8.0,none,none,13,14,0,1,0,0.0022,1,2,600,2000.0,2,sunny,27.0
Emergency Drill,2024-03-12,PedestrianPathway,MALL,4,0.0044,0.016,1.6015,4,184.5646,4,0,1.0,0.0,0.0,0.0,4.0,100.0,4.0,0.0024,13.0,none,none,13,14,0,1,0,0.0071,1,2,250,900.0,0,sunny,27.0
Emergency Drill,2024-03-12,QueueArea,MALL,1,0.0017,0.0067,1.685,1,453.7663,1,0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0033,13.0,none,none,13,14,0,1,0,0.0028,1,2,150,600.0,1,sunny,27.0
Emergency Drill,2024-03-12,RetailArea_L,MALL,2,0.0019,0.0067,1.7563,2,157.9452,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0025,8.0,none,none,13,14,0,1,0,0.0033,1,2,300,1050.0,1,sunny,27.0
Emergency Drill,2024-03-12,RetailArea_R,MALL,2,0.0019,0.0067,1.8887,2,10.8432,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0029,9.0,none,none,13,14,0,1,0,0.0036,1,2,300,1050.0,1,sunny,27.0
