scenario_name,simulation_date,Zone_name,Venue_type,count,density,occupancy_ratio,avg_speed,flow_in,avg_dwelltime,flow_out,flow_imbalance,flow_ratio,count_t-1,density_t-1,flow_in_t-1,count_trend,density_change_rate,rolling_count_3h,neighbor_density_avg,neighbor_flow_in,event_type,event_scale,time_to_event_start,time_to_event_end,hour_of_day,day_of_week,is_weekend,pressure_score,exit_blocked_flag,exits_open_count,zone_capacity,zone_area_sqm,num_exits,weather,temperature_c
Evening Closing,2024-03-13,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,3.0,none,none,99,99,0,2,0,0.0,1,3,80,300.0,1,rainy,22.0
Evening Closing,2024-03-13,EntryExitPoint_N,MALL,5,0.0167,0.05,1.4156,5,25.5962,5,0,1.0,0.0,0.0,0.0,5.0,100.0,5.0,0.003,6.0,none,none,99,99,0,2,0,0.0236,1,3,100,300.0,1,rainy,22.0
Evening Closing,2024-03-13,EntryExitPoint_S,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,1.0,none,none,99,99,0,2,0,0.0,1,3,100,300.0,1,rainy,22.0
Evening Closing,2024-03-13,EntryExitPoint_W,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,1.0,none,none,99,99,0,2,0,0.0,1,3,80,300.0,1,rainy,22.0
Evening Closing,2024-03-13,EventArea,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,4.0,none,none,99,99,0,2,0,0.0,1,3,500,1500.0,1,rainy,22.0
Evening Closing,2024-03-13,FoodCourt,MALL,1,0.0007,0.0025,1.379,1,29.5688,1,0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0007,2.0,none,none,99,99,0,2,0,0.0009,1,3,400,1500.0,1,rainy,22.0
Evening Closing,2024-03-13,Lobby,MALL,6,0.003,0.01,1.3959,6,23.2113,6,0,1.0,0.0,0.0,0.0,6.0,100.0,6.0,0.006,12.0,none,none,99,99,0,2,0,0.0042,1,3,600,2000.0,2,rainy,22.0
Evening Closing,2024-03-13,PedestrianPathway,MALL,4,0.0044,0.016,1.3843,4,26.6619,4,0,1.0,0.0,0.0,0.0,4.0,100.0,4.0,0.0017,12.0,none,none,99,99,0,2,0,0.0062,1,3,250,900.0,0,rainy,22.0
Evening Closing,2024-03-13,QueueArea,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,8.0,none,none,99,99,0,2,0,0.0,1,3,150,600.0,1,rainy,22.0
Evening Closing,2024-03-13,RetailArea_L,MALL,1,0.001,0.0033,1.359,1,10.3937,1,0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0025,10.0,none,none,99,99,0,2,0,0.0013,1,3,300,1050.0,1,rainy,22.0
Evening Closing,2024-03-13,RetailArea_R,MALL,2,0.0019,0.0067,1.3075,2,22.5438,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.003,11.0,none,none,99,99,0,2,0,0.0025,1,3,300,1050.0,1,rainy,22.0
Evening Closing,2024-03-13,ServicePoint,MALL,2,0.0029,0.0111,1.4123,2,27.9614,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0016,6.0,none,none,99,99,0,2,0,0.004,1,3,180,700.0,1,rainy,22.0
Evening Closing,2024-03-13,WaitingArea,MALL,1,0.0014,0.005,1.2,1,22.6167,1,0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0023,8.0,none,none,99,99,0,2,0,0.0017,1,3,200,700.0,1,rainy,22.0
Evening Closing,2024-03-13,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2.0,none,none,99,99,1,2,0,0.0,1,3,80,300.0,1,rainy,22.0
