scenario_name,simulation_date,Zone_name,Venue_type,count,density,occupancy_ratio,avg_speed,flow_in,avg_dwelltime,flow_out,flow_imbalance,flow_ratio,count_t-1,density_t-1,flow_in_t-1,count_trend,density_change_rate,rolling_count_3h,neighbor_density_avg,neighbor_flow_in,event_type,event_scale,time_to_event_start,time_to_event_end,hour_of_day,day_of_week,is_weekend,pressure_score,exit_blocked_flag,exits_open_count,zone_capacity,zone_area_sqm,num_exits,weather,temperature_c
Sale Event Day,2024-03-17,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,8.0,none,none,10,14,0,6,1,0.0,0,4,80,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_N,MALL,10,0.0333,0.1,0.9563,10,80.0211,10,0,1.0,0.0,0.0,0.0,10.0,100.0,10.0,0.009,18.0,none,none,10,14,0,6,1,0.0319,0,4,100,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_S,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,4.0,none,none,10,14,0,6,1,0.0,0,4,100,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_W,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,7.0,none,none,10,14,0,6,1,0.0,0,4,80,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EventArea,MALL,2,0.0013,0.004,0.9136,2,60.3504,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0035,11.0,none,none,10,14,0,6,1,0.0012,0,4,500,1500.0,1,cloudy,26.0
Sale Event Day,2024-03-17,FoodCourt,MALL,2,0.0013,0.005,0.977,2,67.4041,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0034,10.0,none,none,10,14,0,6,1,0.0013,0,4,400,1500.0,1,cloudy,26.0
Sale Event Day,2024-03-17,Lobby,MALL,18,0.009,0.03,0.9704,18,80.0609,18,0,1.0,0.0,0.0,0.0,18.0,100.0,18.0,0.0138,31.0,none,none,10,14,0,6,1,0.0087,0,4,600,2000.0,2,cloudy,26.0
Sale Event Day,2024-03-17,PedestrianPathway,MALL,13,0.0144,0.052,1.0087,13,71.0644,13,0,1.0,0.0,0.0,0.0,13.0,100.0,13.0,0.0057,38.0,none,none,10,14,0,6,1,0.0146,0,4,250,900.0,0,cloudy,26.0
Sale Event Day,2024-03-17,QueueArea,MALL,3,0.005,0.02,0.8,3,120.0901,3,0,1.0,0.0,0.0,0.0,3.0,100.0,3.0,0.0067,24.0,none,none,10,14,0,6,1,0.004,0,4,150,600.0,1,cloudy,26.0
Sale Event Day,2024-03-17,RetailArea_L,MALL,4,0.0038,0.0133,0.8958,4,106.9797,4,0,1.0,0.0,0.0,0.0,4.0,100.0,4.0,0.0095,34.0,none,none,10,14,0,6,1,0.0034,0,4,300,1050.0,1,cloudy,26.0
Sale Event Day,2024-03-17,RetailArea_R,MALL,4,0.0038,0.0133,0.9958,4,82.1573,4,0,1.0,0.0,0.0,0.0,4.0,100.0,4.0,0.0097,35.0,none,none,10,14,0,6,1,0.0038,0,4,300,1050.0,1,cloudy,26.0
Sale Event Day,2024-03-17,ServicePoint,MALL,5,0.0071,0.0278,0.9646,5,67.8281,5,0,1.0,0.0,0.0,0.0,5.0,100.0,5.0,0.0066,22.0,none,none,10,14,0,6,1,0.0069,0,4,180,700.0,1,cloudy,26.0
Sale Event Day,2024-03-17,WaitingArea,MALL,4,0.0057,0.02,0.8038,4,69.6913,4,0,1.0,0.0,0.0,0.0,4.0,100.0,4.0,0.0067,24.0,none,none,10,14,0,6,1,0.0046,0,4,200,700.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,8.0,none,none,9,13,1,6,1,0.0,0,4,80,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_N,MALL,10,0.0333,0.1,1.1261,10,94.9714,10,0,1.0,10.0,0.0333,10.0,0.0,0.0,10.0,0.009,18.0,none,none,9,13,1,6,1,0.0375,0,4,100,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_S,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,4.0,none,none,9,13,1,6,1,0.0,0,4,100,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_W,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,6.0,none,none,9,13,1,6,1,0.0,0,4,80,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EventArea,MALL,2,0.0013,0.004,0.859,2,34.0431,2,0,1.0,2.0,0.0013,2.0,0.0,0.0,2.0,0.0035,11.0,none,none,9,13,1,6,1,0.0011,0,4,500,1500.0,1,cloudy,26.0
Sale Event Day,2024-03-17,FoodCourt,MALL,2,0.0013,0.005,1.011,2,349.9302,2,0,1.0,2.0,0.0013,2.0,0.0,0.0,2.0,0.003,9.0,none,none,9,13,1,6,1,0.0013,0,4,400,1500.0,1,cloudy,26.0
Sale Event Day,2024-03-17,Lobby,MALL,18,0.009,0.03,1.0327,18,68.6906,18,0,1.0,18.0,0.009,18.0,0.0,0.0,18.0,0.0138,31.0,none,none,9,13,1,6,1,0.0093,0,4,600,2000.0,2,cloudy,26.0
Sale Event Day,2024-03-17,PedestrianPathway,MALL,13,0.0144,0.052,0.909,13,80.0104,13,0,1.0,13.0,0.0144,13.0,0.0,0.0,13.0,0.0055,37.0,none,none,9,13,1,6,1,0.0131,0,4,250,900.0,0,cloudy,26.0
Sale Event Day,2024-03-17,QueueArea,MALL,2,0.0033,0.0133,1.178,2,39.9136,2,0,1.0,3.0,0.005,3.0,-1.0,-0.3333,2.5,0.0067,24.0,none,none,9,13,1,6,1,0.0039,0,4,150,600.0,1,cloudy,26.0
Sale Event Day,2024-03-17,RetailArea_L,MALL,4,0.0038,0.0133,1.177,4,47.0059,4,0,1.0,4.0,0.0038,4.0,0.0,0.0,4.0,0.0089,33.0,none,none,9,13,1,6,1,0.0045,0,4,300,1050.0,1,cloudy,26.0
Sale Event Day,2024-03-17,RetailArea_R,MALL,4,0.0038,0.0133,1.1673,4,56.779,4,0,1.0,4.0,0.0038,4.0,0.0,0.0,4.0,0.0097,35.0,none,none,9,13,1,6,1,0.0044,0,4,300,1050.0,1,cloudy,26.0
Sale Event Day,2024-03-17,ServicePoint,MALL,5,0.0071,0.0278,0.735,5,155.7727,5,0,1.0,5.0,0.0071,5.0,0.0,0.0,5.0,0.0062,21.0,none,none,9,13,1,6,1,0.0052,0,4,180,700.0,1,cloudy,26.0
Sale Event Day,2024-03-17,WaitingArea,MALL,4,0.0057,0.02,0.9441,4,38.6612,4,0,1.0,4.0,0.0057,4.0,0.0,0.0,4.0,0.0067,24.0,none,none,9,13,1,6,1,0.0054,0,4,200,700.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,9.0,none,none,8,12,2,6,1,0.0,0,4,80,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_N,MALL,11,0.0367,0.11,0.9874,11,74.7968,11,0,1.0,10.0,0.0333,10.0,1.0,0.1,10.3333,0.009,18.0,none,none,8,12,2,6,1,0.0362,0,4,100,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_S,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,4.0,none,none,8,12,2,6,1,0.0,0,4,100,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_W,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,7.0,none,none,8,12,2,6,1,0.0,0,4,80,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EventArea,MALL,2,0.0013,0.004,1.311,2,44.1238,2,0,1.0,2.0,0.0013,2.0,0.0,0.0,2.0,0.0032,10.0,none,none,8,12,2,6,1,0.0017,0,4,500,1500.0,1,cloudy,26.0
Sale Event Day,2024-03-17,FoodCourt,MALL,2,0.0013,0.005,1.301,2,207.0525,2,0,1.0,2.0,0.0013,2.0,0.0,0.0,2.0,0.0026,8.0,none,none,8,12,2,6,1,0.0017,0,4,400,1500.0,1,cloudy,26.0
Sale Event Day,2024-03-17,Lobby,MALL,18,0.009,0.03,0.9371,18,74.8984,18,0,1.0,18.0,0.009,18.0,0.0,0.0,18.0,0.0146,32.0,none,none,8,12,2,6,1,0.0084,0,4,600,2000.0,2,cloudy,26.0
Sale Event Day,2024-03-17,PedestrianPathway,MALL,11,0.0122,0.044,1.0367,11,88.9279,11,0,1.0,13.0,0.0144,13.0,-2.0,-0.1538,12.3333,0.0055,38.0,none,none,8,12,2,6,1,0.0127,0,4,250,900.0,0,cloudy,26.0
Sale Event Day,2024-03-17,QueueArea,MALL,2,0.0033,0.0133,0.807,2,79.6976,2,0,1.0,2.0,0.0033,2.0,0.0,0.0,2.3333,0.006,22.0,none,none,8,12,2,6,1,0.0027,0,4,150,600.0,1,cloudy,26.0
Sale Event Day,2024-03-17,RetailArea_L,MALL,5,0.0048,0.0167,0.9394,5,79.9669,5,0,1.0,4.0,0.0038,4.0,1.0,0.2499,4.3333,0.0082,31.0,none,none,8,12,2,6,1,0.0045,0,4,300,1050.0,1,cloudy,26.0
Sale Event Day,2024-03-17,RetailArea_R,MALL,5,0.0048,0.0167,0.8231,5,50.4394,5,0,1.0,4.0,0.0038,4.0,1.0,0.2499,4.3333,0.009,33.0,none,none,8,12,2,6,1,0.0039,0,4,300,1050.0,1,cloudy,26.0
Sale Event Day,2024-03-17,ServicePoint,MALL,4,0.0057,0.0222,1.2892,4,205.0404,4,0,1.0,5.0,0.0071,5.0,-1.0,-0.2,4.6667,0.0057,19.0,none,none,8,12,2,6,1,0.0074,0,4,180,700.0,1,cloudy,26.0
Sale Event Day,2024-03-17,WaitingArea,MALL,4,0.0057,0.02,0.9868,4,42.8153,4,0,1.0,4.0,0.0057,4.0,0.0,0.0,4.0,0.006,22.0,none,none,8,12,2,6,1,0.0056,0,4,200,700.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,8.0,none,none,7,11,3,6,1,0.0,0,4,80,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_N,MALL,5,0.0167,0.05,1.069,5,67.9913,5,0,1.0,11.0,0.0367,11.0,-6.0,-0.5454,8.6667,0.0085,17.0,none,none,7,11,3,6,1,0.0178,0,4,100,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_S,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,4.0,none,none,7,11,3,6,1,0.0,0,4,100,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EntryExitPoint_W,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,6.0,none,none,7,11,3,6,1,0.0,0,4,80,300.0,1,cloudy,26.0
Sale Event Day,2024-03-17,EventArea,MALL,2,0.0013,0.004,0.98,2,72.635,2,0,1.0,2.0,0.0013,2.0,0.0,0.0,2.0,0.0032,10.0,none,none,7,11,3,6,1,0.0013,0,4,500,1500.0,1,cloudy,26.0
Sale Event Day,2024-03-17,FoodCourt,MALL,2,0.0013,0.005,1.081,2,69.3379,2,0,1.0,2.0,0.0013,2.0,0.0,0.0,2.0,0.0026,8.0,none,none,7,11,3,6,1,0.0014,0,4,400,1500.0,1,cloudy,26.0
Sale Event Day,2024-03-17,Lobby,MALL,17,0.0085,0.0283,1.0735,17,103.9532,17,0,1.0,18.0,0.009,18.0,-1.0,-0.0555,17.6667,0.0097,26.0,none,none,7,11,3,6,1,0.0091,0,4,600,2000.0,2,cloudy,26.0
Sale Event Day,2024-03-17,PedestrianPathway,MALL,13,0.0144,0.052,1.0574,13,85.7373,13,0,1.0,11.0,0.0122,11.0,2.0,0.1818,12.3333,0.0051,35.0,none,none,7,11,3,6,1,0.0153,0,4,250,900.0,0,cloudy,26.0
