scenario_name,simulation_date,Zone_name,Venue_type,count,density,occupancy_ratio,avg_speed,flow_in,avg_dwelltime,flow_out,flow_imbalance,flow_ratio,count_t-1,density_t-1,flow_in_t-1,count_trend,density_change_rate,rolling_count_3h,neighbor_density_avg,neighbor_flow_in,event_type,event_scale,time_to_event_start,time_to_event_end,hour_of_day,day_of_week,is_weekend,pressure_score,exit_blocked_flag,exits_open_count,zone_capacity,zone_area_sqm,num_exits,weather,temperature_c
Superstar Movie Show - Special Event Day,2024-03-11,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193,32.0,none,none,13,23,0,0,0,0.0,0,4,80,300.0,1,sunny,28.0
Superstar Movie Show - Special Event Day,2024-03-11,EntryExitPoint_N,MALL,11,0.0367,0.11,1.0581,11,133.5579,11,0,1.0,0.0,0.0,0.0,11.0,50.0,11.0,0.0105,21.0,none,none,13,23,0,0,0,0.0388,0,4,100,300.0,1,sunny,28.0
Superstar Movie Show - Special Event Day,2024-03-11,EntryExitPoint_S,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,26.0,none,none,13,23,0,0,0,0.0,0,4,100,300.0,1,sunny,28.0
Superstar Movie Show - Special Event Day,2024-03-11,EntryExitPoint_W,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,12.0,none,none,13,23,0,0,0,0.0,0,4,80,300.0,1,sunny,28.0
Superstar Movie Show - Special Event Day,2024-03-11,EventArea,MALL,22,0.0147,0.044,1.0165,22,148.5856,22,0,1.0,0.0,0.0,0.0,22.0,50.0,22.0,0.0125,37.0,none,none,13,23,0,0,0,0.0149,0,4,500,1500.0,1,sunny,28.0
Superstar Movie Show - Special Event Day,2024-03-11,FoodCourt,MALL,4,0.0027,0.01,1.1492,4,186.818,4,0,1.0,0.0,0.0,0.0,4.0,50.0,4.0,0.0106,41.0,none,none,13,23,0,0,0,0.0031,0,4,400,1500.0,1,sunny,28.0
Superstar Movie Show - Special Event Day,2024-03-11,Lobby,MALL,21,0.0105,0.035,1.0606,21,137.2601,21,0,1.0,0.0,0.0,0.0,21.0,50.0,21.0,0.019,50.0,none,none,13,23,0,0,0,0.0111,0,4,600,2000.0,2,sunny,28.0
Superstar Movie Show - Special Event Day,2024-03-11,PedestrianPathway,MALL,15,0.0167,0.06,1.0004,15,152.5831,15,0,1.0,0.0,0.0,0.0,15.0,50.0,15.0,0.0142,81.0,none,none,13,23,0,0,0,0.0167,0,4,250,900.0,0,sunny,28.0
Superstar Movie Show - Special Event Day,2024-03-11,QueueArea,MALL,3,0.005,0.02,1.1292,3,192.1303,3,0,1.0,0.0,0.0,0.0,3.0,50.0,3.0,0.0127,44.0,none,none,13,23,0,0,0,0.0056,0,4,150,600.0,1,sunny,28.0
Superstar Movie Show - Special Event Day,2024-03-11,RetailArea_L,MALL,9,0.0086,0.03,1.0674,9,174.8415,9,0,1.0,0.0,0.0,0.0,9.0,50.0,9.0,0.0107,39.0,none,none,13,23,0,0,0,0.0091,0,4,300,1050.0,1,sunny,28.0
