scenario_name,simulation_date,Zone_name,Venue_type,count,density,occupancy_ratio,avg_speed,flow_in,avg_dwelltime,flow_out,flow_imbalance,flow_ratio,count_t-1,density_t-1,flow_in_t-1,count_trend,density_change_rate,rolling_count_3h,neighbor_density_avg,neighbor_flow_in,event_type,event_scale,time_to_event_start,time_to_event_end,hour_of_day,day_of_week,is_weekend,pressure_score,exit_blocked_flag,exits_open_count,zone_capacity,zone_area_sqm,num_exits,weather,temperature_c
Weekend Rush,2024-03-16,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,7.0,none,none,99,99,0,5,1,0.0,0,4,80,300.0,1,sunny,30.0
Weekend Rush,2024-03-16,EntryExitPoint_N,MALL,11,0.0367,0.11,1.1319,11,89.8458,11,0,1.0,0.0,0.0,0.0,11.0,100.0,11.0,0.007,14.0,none,none,99,99,0,5,1,0.0415,0,4,100,300.0,1,sunny,30.0
Weekend Rush,2024-03-16,EntryExitPoint_S,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.0,none,none,99,99,0,5,1,0.0,0,4,100,300.0,1,sunny,30.0
Weekend Rush,2024-03-16,EntryExitPoint_W,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,5.0,none,none,99,99,0,5,1,0.0,0,4,80,300.0,1,sunny,30.0
Weekend Rush,2024-03-16,EventArea,MALL,1,0.0007,0.002,1.238,1,59.4603,1,0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0028,9.0,none,none,99,99,0,5,1,0.0008,0,4,500,1500.0,1,sunny,30.0
Weekend Rush,2024-03-16,FoodCourt,MALL,2,0.0013,0.005,1.061,2,62.4903,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0024,7.0,none,none,99,99,0,5,1,0.0014,0,4,400,1500.0,1,sunny,30.0
Weekend Rush,2024-03-16,Lobby,MALL,14,0.007,0.0233,1.0723,14,75.7006,14,0,1.0,0.0,0.0,0.0,14.0,100.0,14.0,0.0133,27.0,none,none,99,99,0,5,1,0.0075,0,4,600,2000.0,2,sunny,30.0
Weekend Rush,2024-03-16,PedestrianPathway,MALL,9,0.01,0.036,1.0002,9,56.4198,9,0,1.0,0.0,0.0,0.0,9.0,100.0,9.0,0.0045,30.0,none,none,99,99,0,5,1,0.01,0,4,250,900.0,0,sunny,30.0
Weekend Rush,2024-03-16,QueueArea,MALL,2,0.0033,0.0133,0.961,2,75.7154,2,0,1.0,0.0,0.0,0.0,2.0,100.0,2.0,0.005,18.0,none,none,99,99,0,5,1,0.0032,0,4,150,600.0,1,sunny,30.0
Weekend Rush,2024-03-16,RetailArea_L,MALL,3,0.0029,0.01,1.16,3,69.5912,3,0,1.0,0.0,0.0,0.0,3.0,100.0,3.0,0.0068,25.0,none,none,99,99,0,5,1,0.0033,0,4,300,1050.0,1,sunny,30.0
Weekend Rush,2024-03-16,RetailArea_R,MALL,4,0.0038,0.0133,1.0123,4,80.707,4,0,1.0,0.0,0.0,0.0,4.0,100.0,4.0,0.0071,26.0,none,none,99,99,0,5,1,0.0039,0,4,300,1050.0,1,sunny,30.0
Weekend Rush,2024-03-16,ServicePoint,MALL,4,0.0057,0.0222,1.0077,4,61.6227,4,0,1.0,0.0,0.0,0.0,4.0,100.0,4.0,0.0047,16.0,none,none,99,99,0,5,1,0.0058,0,4,180,700.0,1,sunny,30.0
Weekend Rush,2024-03-16,WaitingArea,MALL,3,0.0043,0.015,0.9535,3,40.0388,3,0,1.0,0.0,0.0,0.0,3.0,100.0,3.0,0.005,18.0,none,none,99,99,0,5,1,0.0041,0,4,200,700.0,1,sunny,30.0
Weekend Rush,2024-03-16,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,7.0,none,none,99,99,1,5,1,0.0,0,4,80,300.0,1,sunny,30.0
Weekend Rush,2024-03-16,EntryExitPoint_N,MALL,6,0.02,0.06,1.1518,6,120.6733,6,0,1.0,11.0,0.0367,11.0,-5.0,-0.4545,8.5,0.007,14.0,none,none,99,99,1,5,1,0.023,0,4,100,300.0,1,sunny,30.0
Weekend Rush,2024-03-16,EntryExitPoint_S,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.0,none,none,99,99,1,5,1,0.0,0,4,100,300.0,1,sunny,30.0
Weekend Rush,2024-03-16,EntryExitPoint_W,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,5.0,none,none,99,99,1,5,1,0.0,0,4,80,300.0,1,sunny,30.0
Weekend Rush,2024-03-16,EventArea,MALL,1,0.0007,0.002,1.11,1,64.9996,1,0,1.0,1.0,0.0007,1.0,0.0,0.0,1.0,0.0025,8.0,none,none,99,99,1,5,1,0.0007,0,4,500,1500.0,1,sunny,30.0
Weekend Rush,2024-03-16,FoodCourt,MALL,2,0.0013,0.005,1.1167,2,42.7428,2,0,1.0,2.0,0.0013,2.0,0.0,0.0,2.0,0.0021,6.0,none,none,99,99,1,5,1,0.0015,0,4,400,1500.0,1,sunny,30.0
Weekend Rush,2024-03-16,Lobby,MALL,14,0.007,0.0233,1.0999,14,110.7585,14,0,1.0,14.0,0.007,14.0,0.0,0.0,14.0,0.0089,21.0,none,none,99,99,1,5,1,0.0077,0,4,600,2000.0,2,sunny,30.0
Weekend Rush,2024-03-16,PedestrianPathway,MALL,8,0.0089,0.032,1.0911,8,48.0724,8,0,1.0,9.0,0.01,9.0,-1.0,-0.1111,8.5,0.0043,29.0,none,none,99,99,1,5,1,0.0097,0,4,250,900.0,0,sunny,30.0
Weekend Rush,2024-03-16,QueueArea,MALL,2,0.0033,0.0133,1.0935,2,52.9154,2,0,1.0,2.0,0.0033,2.0,0.0,0.0,2.0,0.0043,16.0,none,none,99,99,1,5,1,0.0036,0,4,150,600.0,1,sunny,30.0
Weekend Rush,2024-03-16,RetailArea_L,MALL,3,0.0029,0.01,1.1186,3,147.3444,3,0,1.0,3.0,0.0029,3.0,0.0,0.0,3.0,0.0064,24.0,none,none,99,99,1,5,1,0.0032,0,4,300,1050.0,1,sunny,30.0
Weekend Rush,2024-03-16,RetailArea_R,MALL,4,0.0038,0.0133,1.1804,4,152.5803,4,0,1.0,4.0,0.0038,4.0,0.0,0.0,4.0,0.0067,25.0,none,none,99,99,1,5,1,0.0045,0,4,300,1050.0,1,sunny,30.0
Weekend Rush,2024-03-16,ServicePoint,MALL,3,0.0043,0.0167,1.1988,3,43.0649,3,0,1.0,4.0,0.0057,4.0,-1.0,-0.25,3.5,0.0045,15.0,none,none,99,99,1,5,1,0.0051,0,4,180,700.0,1,sunny,30.0
Weekend Rush,2024-03-16,WaitingArea,MALL,3,0.0043,0.015,1.0186,3,70.565,3,0,1.0,3.0,0.0043,3.0,0.0,0.0,3.0,0.0044,16.0,none,none,99,99,1,5,1,0.0044,0,4,200,700.0,1,sunny,30.0
Weekend Rush,2024-03-16,EntryExitPoint_E,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,7.0,none,none,99,99,2,5,1,0.0,0,4,80,300.0,1,sunny,30.0
Weekend Rush,2024-03-16,EntryExitPoint_N,MALL,7,0.0233,0.07,1.0371,7,44.4195,7,0,1.0,6.0,0.02,6.0,1.0,0.1667,8.0,0.007,14.0,none,none,99,99,2,5,1,0.0242,0,4,100,300.0,1,sunny,30.0
Weekend Rush,2024-03-16,EntryExitPoint_S,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.0,none,none,99,99,2,5,1,0.0,0,4,100,300.0,1,sunny,30.0
Weekend Rush,2024-03-16,EntryExitPoint_W,MALL,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,3.0,none,none,99,99,2,5,1,0.0,0,4,80,300.0,1,sunny,30.0
