zone_name,venue_type,count,density,occupancy_ratio,avg_speed,flow_in,avg_dwelltime,flow_out,flow_imbalance,flow_ratio,count_t-1,density_t-1,flow_in_t-1,count_trend,density_change_rate,rolling_count_3h,neighbor_density_avg,neighbor_flow_in,event_type,event_scale,time_to_event_start,time_to_event_end,hour_of_day,day_of_week,is_weekend,pressure_score,exit_blocked_flag,exits_open_count,zone_capacity,zone_area_sqm,num_exits,weather,temperature_c,scenario_id,scenario_name,model_used,category,label
main_entrance,mall,16.64,0.05556,0.05,0.7155,483,0.94,466,17,1.0365,0.0,0.0,0,16.64,0.05556,16.64,0.01185,608.0,nye_extended,3,18,24,0,1,1,0.71111,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,20.77,0.06667,0.06,0.7229,614,0.94,609,5,1.0082,16.64,0.05556,483,4.12,0.01111,16.64,0.01556,875.0,nye_extended,3,17,23,1,1,1,0.25556,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,17.02,0.05556,0.05,0.7147,492,0.94,499,-7,0.986,20.77,0.06667,614,-3.75,-0.01111,18.72,0.01316,721.0,nye_extended,3,16,22,2,1,1,0.20833,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,9.25,0.03611,0.0325,0.7203,253,0.94,259,-6,0.9768,17.02,0.05556,492,-7.77,-0.01945,18.15,0.00727,408.0,nye_extended,3,15,21,3,1,1,0.08333,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,0.07,0.01111,0.01,0.0113,0,0.94,9,-9,0.0,9.25,0.03611,253,-9.18,-0.025,15.68,0.00061,41.0,nye_extended,3,14,20,4,1,1,0.05556,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.94,0,0,0.0,0.07,0.01111,0,-0.07,-0.01111,8.78,0.0,0.0,nye_extended,3,13,19,5,1,1,0.0,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.94,0,0,0.0,0.0,0.0,0,0.0,0.0,3.11,0.0,0.0,nye_extended,3,12,18,6,1,1,0.0,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.94,0,0,0.0,0.0,0.0,0,0.0,0.0,0.02,0.0,0.0,nye_extended,3,11,17,7,1,1,0.0,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.94,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,nye_extended,3,10,16,8,1,1,0.0,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.94,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,nye_extended,3,9,15,9,1,1,0.0,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,18.33,0.06111,0.055,0.7141,536,0.94,518,18,1.0347,0.0,0.0,0,18.33,0.06111,0.0,0.01265,672.0,nye_extended,3,8,14,10,1,1,0.37778,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,25.4,0.07778,0.07,0.7176,765,0.94,758,7,1.0092,18.33,0.06111,536,7.07,0.01667,6.11,0.01898,1146.0,nye_extended,3,7,13,11,1,1,0.375,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,39.22,0.11944,0.1075,0.7137,1215,0.94,1199,16,1.0133,25.4,0.07778,765,13.82,0.04166,14.58,0.02886,1829.0,nye_extended,3,6,12,12,1,1,0.88889,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,39.22,0.12222,0.11,0.7144,1211,0.94,1215,-4,0.9967,39.22,0.11944,1215,0.0,0.00278,27.65,0.03009,1963.0,nye_extended,3,5,11,13,1,1,0.73333,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,39.35,0.11667,0.105,0.7119,1222,0.94,1220,2,1.0016,39.22,0.12222,1211,0.13,-0.00555,34.61,0.03007,1929.0,nye_extended,3,4,10,14,1,1,0.51389,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,32.45,0.1,0.09,0.7152,980,0.94,988,-8,0.9919,39.35,0.11667,1222,-6.9,-0.01667,39.26,0.02525,1649.0,nye_extended,3,3,9,15,1,1,0.5,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,38.25,0.11667,0.105,0.7116,1186,0.94,1178,8,1.0068,32.45,0.1,980,5.8,0.01667,37.01,0.02903,1898.0,nye_extended,3,2,8,16,1,1,0.51389,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,39.1,0.11944,0.1075,0.714,1213,0.94,1215,-2,0.9984,38.25,0.11667,1186,0.85,0.00277,36.68,0.02987,1968.0,nye_extended,3,1,7,17,1,1,0.59722,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,39.32,0.12222,0.11,0.7125,1213,0.94,1208,5,1.0041,39.1,0.11944,1213,0.22,0.00278,36.6,0.02976,1921.0,nye_extended,3,0,6,18,1,1,0.58333,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,39.38,0.11944,0.1075,0.7081,1216,0.94,1220,-4,0.9967,39.32,0.12222,1213,0.07,-0.00278,38.89,0.02993,1970.0,nye_extended,3,-1,5,19,1,1,0.7,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,39.25,0.11667,0.105,0.7093,1211,0.94,1210,1,1.0008,39.38,0.11944,1216,-0.13,-0.00277,39.27,0.02987,1935.0,nye_extended,3,-2,4,20,1,1,0.58333,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,39.68,0.125,0.1125,0.7171,1224,0.94,1224,0,1.0,39.25,0.11667,1211,0.43,0.00833,39.32,0.02998,1950.0,nye_extended,3,-3,3,21,1,1,0.75,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,39.38,0.11944,0.1075,0.7099,1221,0.94,1220,1,1.0008,39.68,0.125,1224,-0.3,-0.00556,39.44,0.03008,1988.0,nye_extended,3,-4,2,22,1,1,0.71667,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_entrance,mall,39.38,0.11944,0.1075,0.7131,1222,0.94,1222,0,1.0,39.38,0.11944,1221,0.0,0.0,39.44,0.03014,1955.0,nye_extended,3,-5,1,23,1,1,0.6,0,6,400,360.0,6,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_corridor,mall,42.66,0.01528,0.0458,0.7041,608,4.88,561,47,1.0838,0.0,0.0,0,42.66,0.01528,42.66,0.02012,1159.0,nye_extended,3,18,24,0,1,1,0.12222,0,8,1200,3600.0,8,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
main_corridor,mall,56.0,0.01833,0.055,0.7274,875,4.88,867,8,1.0092,42.66,0.01528,608,13.34,0.00305,42.66,0.0301,1718.0,nye_extended,3,17,23,1,1,1,0.25667,0,8,1200,3600.0,8,clear,24,mall_extended_hours,Christmas Eve Last-Hour Surge,CFSMv2,B,0
