zone_name,venue_type,count,density,occupancy_ratio,avg_speed,flow_in,avg_dwelltime,flow_out,flow_imbalance,flow_ratio,count_t-1,density_t-1,flow_in_t-1,count_trend,density_change_rate,rolling_count_3h,neighbor_density_avg,neighbor_flow_in,event_type,event_scale,time_to_event_start,time_to_event_end,hour_of_day,day_of_week,is_weekend,pressure_score,exit_blocked_flag,exits_open_count,zone_capacity,zone_area_sqm,num_exits,weather,temperature_c,scenario_id,scenario_name,model_used,category,label
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.53,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,festival_sale,3,9,23,0,1,1,0.0,0,6,400,360.0,6,clear,26,mall_festival_sale,Diwali/Eid Big Sale Rush,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.53,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,festival_sale,3,8,22,1,1,1,0.0,0,6,400,360.0,6,clear,26,mall_festival_sale,Diwali/Eid Big Sale Rush,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.53,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,festival_sale,3,7,21,2,1,1,0.0,0,6,400,360.0,6,clear,26,mall_festival_sale,Diwali/Eid Big Sale Rush,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.53,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,festival_sale,3,6,20,3,1,1,0.0,0,6,400,360.0,6,clear,26,mall_festival_sale,Diwali/Eid Big Sale Rush,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.53,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,festival_sale,3,5,19,4,1,1,0.0,0,6,400,360.0,6,clear,26,mall_festival_sale,Diwali/Eid Big Sale Rush,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.53,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,festival_sale,3,4,18,5,1,1,0.0,0,6,400,360.0,6,clear,26,mall_festival_sale,Diwali/Eid Big Sale Rush,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.53,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,festival_sale,3,3,17,6,1,1,0.0,0,6,400,360.0,6,clear,26,mall_festival_sale,Diwali/Eid Big Sale Rush,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.53,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,festival_sale,3,2,16,7,1,1,0.0,0,6,400,360.0,6,clear,26,mall_festival_sale,Diwali/Eid Big Sale Rush,CFSMv2,B,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.53,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,festival_sale,3,1,15,8,1,1,0.0,0,6,400,360.0,6,clear,26,mall_festival_sale,Diwali/Eid Big Sale Rush,CFSMv2,B,0
main_entrance,mall,11.77,0.03889,0.035,0.7093,369,0.53,356,13,1.0365,0.0,0.0,0,11.77,0.03889,0.0,0.00543,462.0,festival_sale,3,0,14,9,1,1,0.2,0,6,400,360.0,6,clear,26,mall_festival_sale,Diwali/Eid Big Sale Rush,CFSMv2,B,0
