zone_name,venue_type,count,density,occupancy_ratio,avg_speed,flow_in,avg_dwelltime,flow_out,flow_imbalance,flow_ratio,count_t-1,density_t-1,flow_in_t-1,count_trend,density_change_rate,rolling_count_3h,neighbor_density_avg,neighbor_flow_in,event_type,event_scale,time_to_event_start,time_to_event_end,hour_of_day,day_of_week,is_weekend,pressure_score,exit_blocked_flag,exits_open_count,zone_capacity,zone_area_sqm,num_exits,weather,temperature_c,scenario_id,scenario_name,model_used,category,label
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.62,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,0,1,0,0.0,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.62,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,1,1,0,0.0,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.62,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,2,1,0,0.0,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.62,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,3,1,0,0.0,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.62,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,4,1,0,0.0,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.62,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,5,1,0,0.0,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.62,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,6,1,0,0.0,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.62,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,7,1,0,0.0,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.62,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,8,1,0,0.0,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.62,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,9,1,0,0.0,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,6.07,0.01944,0.0175,0.7336,187,0.62,181,6,1.0331,0.0,0.0,0,6.07,0.01944,0.0,0.00166,215.0,none,0,-1,-1,10,1,0,0.05,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,8.6,0.02778,0.025,0.7225,264,0.62,263,1,1.0038,6.07,0.01944,187,2.53,0.00834,2.02,0.00248,333.0,none,0,-1,-1,11,1,0,0.05556,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,21.33,0.06389,0.0575,0.7149,679,0.62,666,13,1.0195,8.6,0.02778,264,12.73,0.03611,4.89,0.00647,898.0,none,0,-1,-1,12,1,0,0.35,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,27.78,0.08333,0.075,0.709,908,0.62,900,8,1.0089,21.33,0.06389,679,6.45,0.01944,12.0,0.00919,1307.0,none,0,-1,-1,13,1,0,0.26667,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,21.48,0.06667,0.06,0.7164,681,0.62,688,-7,0.9898,27.78,0.08333,908,-6.3,-0.01666,19.24,0.00721,1014.0,none,0,-1,-1,14,1,0,0.26667,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,13.67,0.05,0.045,0.7205,422,0.62,429,-7,0.9837,21.48,0.06667,681,-7.82,-0.01667,23.53,0.00442,617.0,none,0,-1,-1,15,1,0,0.18056,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,16.18,0.05,0.045,0.7156,502,0.62,500,2,1.004,13.67,0.05,422,2.52,0.0,20.98,0.00504,715.0,none,0,-1,-1,16,1,0,0.15,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,27.47,0.08333,0.075,0.7119,909,0.62,896,13,1.0145,16.18,0.05,502,11.28,0.03333,17.11,0.009,1254.0,none,0,-1,-1,17,1,0,0.44722,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,36.7,0.10833,0.0975,0.711,1222,0.62,1214,8,1.0066,27.47,0.08333,909,9.23,0.025,19.11,0.01193,1674.0,none,0,-1,-1,18,1,0,0.47222,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,36.77,0.10833,0.0975,0.7072,1224,0.62,1223,1,1.0008,36.7,0.10833,1222,0.07,0.0,26.78,0.01258,1768.0,none,0,-1,-1,19,1,0,0.325,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,26.52,0.08611,0.0775,0.7095,863,0.62,874,-11,0.9874,36.77,0.10833,1224,-10.25,-0.02222,33.64,0.00893,1253.0,none,0,-1,-1,20,1,0,0.60278,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,13.8,0.05556,0.05,0.7089,427,0.62,441,-14,0.9683,26.52,0.08611,863,-12.72,-0.03055,33.33,0.00462,665.0,none,0,-1,-1,21,1,0,0.38889,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,0.12,0.01944,0.0175,0.0149,0,0.62,13,-13,0.0,13.8,0.05556,427,-13.68,-0.03612,25.69,0.00029,49.0,none,0,-1,-1,22,1,0,0.11667,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_entrance,mall,0.0,0.0,0.0,0.0,0,0.62,0,0,0.0,0.12,0.01944,0,-0.12,-0.01944,13.48,0.0,0.0,none,0,-1,-1,23,1,0,0.0,0,6,400,360.0,6,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_corridor,mall,0.0,0.0,0.0,0.0,0,1.06,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,0,1,0,0.0,0,8,1200,3600.0,8,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_corridor,mall,0.0,0.0,0.0,0.0,0,1.06,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,1,1,0,0.0,0,8,1200,3600.0,8,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_corridor,mall,0.0,0.0,0.0,0.0,0,1.06,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,2,1,0,0.0,0,8,1200,3600.0,8,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_corridor,mall,0.0,0.0,0.0,0.0,0,1.06,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,3,1,0,0.0,0,8,1200,3600.0,8,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_corridor,mall,0.0,0.0,0.0,0.0,0,1.06,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,4,1,0,0.0,0,8,1200,3600.0,8,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_corridor,mall,0.0,0.0,0.0,0.0,0,1.06,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,5,1,0,0.0,0,8,1200,3600.0,8,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_corridor,mall,0.0,0.0,0.0,0.0,0,1.06,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,6,1,0,0.0,0,8,1200,3600.0,8,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_corridor,mall,0.0,0.0,0.0,0.0,0,1.06,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,7,1,0,0.0,0,8,1200,3600.0,8,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_corridor,mall,0.0,0.0,0.0,0.0,0,1.06,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,8,1,0,0.0,0,8,1200,3600.0,8,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_corridor,mall,0.0,0.0,0.0,0.0,0,1.06,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,9,1,0,0.0,0,8,1200,3600.0,8,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
main_corridor,mall,5.98,0.00278,0.0083,0.704,215,1.06,210,5,1.0238,0.0,0.0,0,5.98,0.00278,0.0,0.00557,505.0,none,0,-1,-1,10,1,0,0.01389,0,8,1200,3600.0,8,clear,28,mall_normal_weekday,Weekday Morning Shopping,CFSM,A,0
