zone_name,venue_type,count,density,occupancy_ratio,avg_speed,flow_in,avg_dwelltime,flow_out,flow_imbalance,flow_ratio,count_t-1,density_t-1,flow_in_t-1,count_trend,density_change_rate,rolling_count_3h,neighbor_density_avg,neighbor_flow_in,event_type,event_scale,time_to_event_start,time_to_event_end,hour_of_day,day_of_week,is_weekend,pressure_score,exit_blocked_flag,exits_open_count,zone_capacity,zone_area_sqm,num_exits,weather,temperature_c,scenario_id,scenario_name,model_used,category,label
terminal_entrance,airport,4.2,0.01,0.02,0.7736,100,0.82,94,6,1.0638,0.0,0.0,0,4.2,0.01,4.2,0.00126,137.0,none,0,-1,-1,0,1,0,0.01667,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,0.18,0.005,0.01,0.0508,2,0.82,8,-6,0.25,4.2,0.01,100,-4.02,-0.005,4.2,5e-05,1.0,none,0,-1,-1,1,1,0,0.015,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,0.0,0.0,0.0,0.0,0,0.82,0,0,0.0,0.18,0.005,2,-0.18,-0.005,2.18,0.0,0.0,none,0,-1,-1,2,1,0,0.0,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,0.0,0.0,0.0,0.0,0,0.82,0,0,0.0,0.0,0.0,0,0.0,0.0,1.45,0.0,0.0,none,0,-1,-1,3,1,0,0.0,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,0.0,0.0,0.0,0.0,0,0.82,0,0,0.0,0.0,0.0,0,0.0,0.0,0.06,0.0,0.0,none,0,-1,-1,4,1,0,0.0,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,52.98,0.10167,0.2033,0.7794,1264,0.82,1210,54,1.0446,0.0,0.0,0,52.98,0.10167,0.0,0.01455,1552.0,none,0,-1,-1,5,1,0,0.915,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,80.58,0.14833,0.2967,0.775,1982,0.82,1950,32,1.0164,52.98,0.10167,1264,27.6,0.04666,17.66,0.02301,2392.0,none,0,-1,-1,6,1,0,1.74,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,81.55,0.155,0.31,0.7737,2005,0.82,2012,-7,0.9965,80.58,0.14833,1982,0.97,0.00667,44.52,0.02351,2407.0,none,0,-1,-1,7,1,0,2.1,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,63.68,0.13667,0.2733,0.7762,1497,0.82,1510,-13,0.9914,81.55,0.155,2005,-17.87,-0.01833,71.71,0.01769,1794.0,none,0,-1,-1,8,1,0,1.75,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,33.87,0.10167,0.2033,0.772,768,0.82,797,-29,0.9636,63.68,0.13667,1497,-29.82,-0.035,75.27,0.0091,912.0,none,0,-1,-1,9,1,0,0.705,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,15.17,0.05167,0.1033,0.7735,342,0.82,364,-22,0.9396,33.87,0.10167,768,-18.7,-0.05,59.7,0.00408,416.0,none,0,-1,-1,10,1,0,0.31,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,7.03,0.02167,0.0433,0.7815,159,0.82,165,-6,0.9636,15.17,0.05167,342,-8.13,-0.03,37.57,0.00188,193.0,none,0,-1,-1,11,1,0,0.06,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,5.1,0.01333,0.0267,0.781,120,0.82,125,-5,0.96,7.03,0.02167,159,-1.93,-0.00834,18.69,0.00137,150.0,none,0,-1,-1,12,1,0,0.04,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,5.03,0.01167,0.0233,0.7856,120,0.82,119,1,1.0084,5.1,0.01333,120,-0.07,-0.00166,9.1,0.00136,153.0,none,0,-1,-1,13,1,0,0.02333,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,6.77,0.01667,0.0333,0.7901,160,0.82,157,3,1.0191,5.03,0.01167,120,1.73,0.005,5.72,0.00183,202.0,none,0,-1,-1,14,1,0,0.045,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,15.08,0.03167,0.0633,0.7799,360,0.82,351,9,1.0256,6.77,0.01667,160,8.32,0.015,5.63,0.00406,436.0,none,0,-1,-1,15,1,0,0.10833,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,42.65,0.08167,0.1633,0.7852,1006,0.82,976,30,1.0307,15.08,0.03167,360,27.57,0.05,8.96,0.01159,1228.0,none,0,-1,-1,16,1,0,0.81667,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,72.55,0.14,0.28,0.7749,1761,0.82,1734,27,1.0156,42.65,0.08167,1006,29.9,0.05833,21.5,0.02052,2130.0,none,0,-1,-1,17,1,0,1.98,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,69.3,0.13,0.26,0.7817,1659,0.82,1668,-9,0.9946,72.55,0.14,1761,-3.25,-0.01,43.43,0.01949,1972.0,none,0,-1,-1,18,1,0,1.26,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,49.62,0.105,0.21,0.7799,1126,0.82,1144,-18,0.9843,69.3,0.13,1659,-19.68,-0.025,61.5,0.0135,1359.0,none,0,-1,-1,19,1,0,0.65333,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,26.25,0.075,0.15,0.7858,592,0.82,614,-22,0.9642,49.62,0.105,1126,-23.37,-0.03,63.82,0.00703,722.0,none,0,-1,-1,20,1,0,0.46667,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,11.73,0.03667,0.0733,0.7618,269,0.82,281,-12,0.9573,26.25,0.075,592,-14.52,-0.03833,48.39,0.00314,320.0,none,0,-1,-1,21,1,0,0.16667,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,6.28,0.01667,0.0333,0.7666,148,0.82,155,-7,0.9548,11.73,0.03667,269,-5.45,-0.02,29.2,0.00169,177.0,none,0,-1,-1,22,1,0,0.05,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
terminal_entrance,airport,4.93,0.01167,0.0233,0.7782,117,0.82,118,-1,0.9915,6.28,0.01667,148,-1.35,-0.005,14.76,0.00133,140.0,none,0,-1,-1,23,1,0,0.02333,0,4,300,600.0,4,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,4.37,0.00273,0.0086,0.7728,86,3.05,80,6,1.075,0.0,0.0,0,4.37,0.00273,4.37,0.00461,148.0,none,0,-1,-1,0,1,0,0.00545,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,0.2,0.00182,0.0057,0.0516,1,3.05,7,-6,0.1429,4.37,0.00273,86,-4.17,-0.00091,4.37,0.00029,8.0,none,0,-1,-1,1,1,0,0.00364,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,0.0,0.0,0.0,0.0,0,3.05,0,0,0.0,0.2,0.00182,1,-0.2,-0.00182,2.27,0.0,0.0,none,0,-1,-1,2,1,0,0.0,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,0.0,0.0,0.0,0.0,0,3.05,0,0,0.0,0.0,0.0,0,0.0,0.0,1.51,0.0,0.0,none,0,-1,-1,3,1,0,0.0,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,0.0,0.0,0.0,0.0,0,3.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0.07,0.0,0.0,none,0,-1,-1,4,1,0,0.0,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,48.23,0.02591,0.0814,0.7794,917,3.05,865,52,1.0601,0.0,0.0,0,48.23,0.02591,0.0,0.05786,1817.0,none,0,-1,-1,5,1,0,0.25636,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,77.7,0.04,0.1257,0.7749,1425,3.05,1396,29,1.0208,48.23,0.02591,917,29.47,0.01409,16.08,0.09038,2869.0,none,0,-1,-1,6,1,0,0.55364,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,79.33,0.04045,0.1271,0.77,1429,3.05,1429,0,1.0,77.7,0.04,1425,1.63,0.00045,41.98,0.09225,2931.0,none,0,-1,-1,7,1,0,0.38727,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,59.72,0.03909,0.1229,0.7767,1063,3.05,1081,-18,0.9833,79.33,0.04045,1429,-19.62,-0.00136,68.42,0.07152,2219.0,none,0,-1,-1,8,1,0,0.315,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,30.73,0.02864,0.09,0.7701,542,3.05,572,-30,0.9476,59.72,0.03909,1063,-28.98,-0.01045,72.25,0.03802,1158.0,none,0,-1,-1,9,1,0,0.22091,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,13.92,0.01409,0.0443,0.7727,252,3.05,271,-19,0.9299,30.73,0.02864,542,-16.82,-0.01455,56.59,0.01703,525.0,none,0,-1,-1,10,1,0,0.04909,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,6.32,0.00591,0.0186,0.7797,114,3.05,120,-6,0.95,13.92,0.01409,252,-7.6,-0.00818,34.79,0.00773,239.0,none,0,-1,-1,11,1,0,0.01273,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,4.67,0.00273,0.0086,0.7821,92,3.05,96,-4,0.9583,6.32,0.00591,114,-1.65,-0.00318,16.99,0.00565,181.0,none,0,-1,-1,12,1,0,0.00545,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,4.57,0.00318,0.01,0.7862,91,3.05,90,1,1.0111,4.67,0.00273,92,-0.1,0.00045,8.3,0.00546,176.0,none,0,-1,-1,13,1,0,0.00545,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,6.2,0.00364,0.0114,0.7911,123,3.05,121,2,1.0165,4.57,0.00318,91,1.63,0.00046,5.18,0.00736,236.0,none,0,-1,-1,14,1,0,0.01091,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,13.28,0.00773,0.0243,0.7806,253,3.05,247,6,1.0243,6.2,0.00364,123,7.08,0.00409,5.14,0.01621,519.0,none,0,-1,-1,15,1,0,0.02364,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,38.63,0.02091,0.0657,0.7834,724,3.05,694,30,1.0432,13.28,0.00773,253,25.35,0.01318,8.02,0.04621,1450.0,none,0,-1,-1,16,1,0,0.16,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,68.8,0.03727,0.1171,0.7763,1258,3.05,1233,25,1.0203,38.63,0.02091,724,30.17,0.01636,19.37,0.08093,2557.0,none,0,-1,-1,17,1,0,0.38182,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,65.17,0.03364,0.1057,0.7817,1153,3.05,1157,-4,0.9965,68.8,0.03727,1258,-3.63,-0.00363,40.24,0.07798,2438.0,none,0,-1,-1,18,1,0,0.27273,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,45.52,0.03091,0.0971,0.7786,808,3.05,831,-23,0.9723,65.17,0.03364,1153,-19.65,-0.00273,57.53,0.05534,1685.0,none,0,-1,-1,19,1,0,0.21273,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,23.92,0.01955,0.0614,0.7861,434,3.05,453,-19,0.9581,45.52,0.03091,808,-21.6,-0.01136,59.83,0.02945,898.0,none,0,-1,-1,20,1,0,0.09273,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,10.52,0.01,0.0314,0.7621,189,3.05,200,-11,0.945,23.92,0.01955,434,-13.4,-0.00955,44.87,0.013,406.0,none,0,-1,-1,21,1,0,0.03,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,5.57,0.00455,0.0143,0.7676,103,3.05,110,-7,0.9364,10.52,0.01,189,-4.95,-0.00545,26.65,0.00697,224.0,none,0,-1,-1,22,1,0,0.00682,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_A,airport,4.43,0.00318,0.01,0.7799,84,3.05,83,1,1.012,5.57,0.00455,103,-1.13,-0.00137,13.33,0.00541,172.0,none,0,-1,-1,23,1,0,0.00545,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_B,airport,1.17,0.00091,0.0029,0.7089,51,3.55,50,1,1.02,0.0,0.0,0,1.17,0.00091,1.17,0.0035,100.0,none,0,-1,-1,0,1,0,0.00182,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_B,airport,0.0,0.0,0.0,0.0,0,3.55,1,-1,0.0,1.17,0.00091,51,-1.17,-0.00091,1.17,0.00015,2.0,none,0,-1,-1,1,1,0,0.0,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_B,airport,0.0,0.0,0.0,0.0,0,3.55,0,0,0.0,0.0,0.0,0,0.0,0.0,0.58,0.0,0.0,none,0,-1,-1,2,1,0,0.0,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_B,airport,0.0,0.0,0.0,0.0,0,3.55,0,0,0.0,0.0,0.0,0,0.0,0.0,0.39,0.0,0.0,none,0,-1,-1,3,1,0,0.0,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_B,airport,0.0,0.0,0.0,0.0,0,3.55,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,none,0,-1,-1,4,1,0,0.0,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_B,airport,15.8,0.00955,0.03,0.7872,635,3.55,622,13,1.0209,0.0,0.0,0,15.8,0.00955,0.0,0.04423,1274.0,none,0,-1,-1,5,1,0,0.08727,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_B,airport,23.55,0.01364,0.0429,0.7771,967,3.55,957,10,1.0104,15.8,0.00955,635,7.75,0.00409,5.27,0.06734,2007.0,none,0,-1,-1,6,1,0,0.11455,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_B,airport,24.13,0.01364,0.0429,0.7763,978,3.55,975,3,1.0031,23.55,0.01364,967,0.58,0.0,13.12,0.06813,2028.0,none,0,-1,-1,7,1,0,0.07909,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
check_in_hall_B,airport,18.1,0.01045,0.0329,0.7795,731,3.55,739,-8,0.9892,24.13,0.01364,978,-6.03,-0.00319,21.16,0.05318,1511.0,none,0,-1,-1,8,1,0,0.07,0,3,700,2200.0,3,clear,24,airport_normal_morning,Regular Morning Departures,CFSM,A,0
